Time (s),Frame,Event
0.00,0,Crowded Scene (12 people)
0.02,1,Person 13 Walking
0.02,1,Person 16 Walking
0.02,1,Crowded Scene (12 people)
0.03,2,Person 10 Walking
0.03,2,Person 11 Walking
0.03,2,Person 16 Walking
0.03,2,Person 18 Walking
0.03,2,Person 19 Walking
0.03,2,Crowded Scene (12 people)
0.05,3,Person 11 Walking
0.05,3,Person 16 Walking
0.05,3,Person 18 Walking
0.05,3,Person 19 Walking
0.05,3,Crowded Scene (12 people)
0.07,4,Person 8 Walking
0.07,4,Person 16 Walking
0.07,4,Person 19 Walking
0.07,4,Crowded Scene (10 people)
0.08,5,Person 10 Walking
0.08,5,Person 11 Walking
0.08,5,Person 16 Walking
0.08,5,Crowded Scene (10 people)
0.10,6,Person 11 Walking
0.10,6,Person 13 Walking
0.10,6,Crowded Scene (11 people)
0.12,7,Person 13 Walking
0.12,7,Crowded Scene (12 people)
0.14,8,Person 13 Walking
0.14,8,Person 29 Walking
0.14,8,Person 32 Walking
0.14,8,Crowded Scene (12 people)
0.15,9,Person 10 Walking
0.15,9,Person 13 Walking
0.15,9,Person 32 Walking
0.15,9,Crowded Scene (12 people)
0.17,10,Person 13 Walking
0.17,10,Person 16 Walking
0.17,10,Crowded Scene (12 people)
0.19,11,Person 8 Walking
0.19,11,Person 13 Walking
0.19,11,Person 16 Walking
0.19,11,Crowded Scene (13 people)
0.20,12,Person 8 Walking
0.20,12,Crowded Scene (13 people)
0.22,13,Crowded Scene (13 people)
0.24,14,Person 8 Walking
0.24,14,Person 16 Walking
0.24,14,Crowded Scene (12 people)
0.25,15,Person 16 Walking
0.25,15,Person 29 Walking
0.25,15,Crowded Scene (11 people)
0.27,16,Person 32 Walking
0.27,16,Crowded Scene (12 people)
0.29,17,Person 15 Walking
0.29,17,Crowded Scene (13 people)
0.31,18,Person 15 Walking
0.31,18,Person 32 Walking
0.31,18,Crowded Scene (13 people)
0.32,19,Person 13 Walking
0.32,19,Person 68 Walking
0.32,19,Crowded Scene (14 people)
0.34,20,Person 13 Walking
0.34,20,Person 16 Walking
0.34,20,Person 32 Walking
0.34,20,Crowded Scene (13 people)
0.36,21,Person 13 Walking
0.36,21,Person 16 Walking
0.36,21,Crowded Scene (13 people)
0.37,22,Person 13 Walking
0.37,22,Person 32 Walking
0.37,22,Crowded Scene (13 people)
0.39,23,Person 13 Walking
0.39,23,Crowded Scene (13 people)
0.41,24,Person 13 Walking
0.41,24,Crowded Scene (13 people)
0.42,25,Person 13 Walking
0.42,25,Crowded Scene (13 people)
0.44,26,Person 13 Walking
0.44,26,Person 15 Walking
0.44,26,Person 68 Walking
0.44,26,Person 8 Walking
0.44,26,Crowded Scene (13 people)
0.46,27,Person 15 Walking
0.46,27,Person 16 Walking
0.46,27,Person 8 Walking
0.46,27,Crowded Scene (13 people)
0.47,28,Person 16 Walking
0.47,28,Person 29 Walking
0.47,28,Crowded Scene (13 people)
0.49,29,Person 16 Walking
0.49,29,Person 29 Walking
0.49,29,Person 37 Walking
0.49,29,Crowded Scene (13 people)
0.51,30,Person 8 Walking
0.51,30,Crowded Scene (13 people)
0.53,31,Crowded Scene (14 people)
0.54,32,Crowded Scene (14 people)
0.56,33,Person 37 Walking
0.56,33,Crowded Scene (14 people)
0.58,34,Vehicle 3 Stopping
0.58,34,Person 37 Walking
0.58,34,Person 111 Walking
0.58,34,Crowded Scene (14 people)
0.59,35,Vehicle 3 Stopping
0.59,35,Crowded Scene (14 people)
0.61,36,Vehicle 3 Stopping
0.61,36,Person 37 Walking
0.61,36,Crowded Scene (13 people)
0.63,37,Vehicle 3 Stopping
0.63,37,Crowded Scene (12 people)
0.64,38,Vehicle 3 Stopping
0.64,38,Crowded Scene (12 people)
0.66,39,Vehicle 3 Stopping
0.66,39,Vehicle 33 Stopping
0.66,39,Person 68 Walking
0.66,39,Person 8 Walking
0.66,39,Crowded Scene (12 people)
0.68,40,Vehicle 3 Stopping
0.68,40,Vehicle 33 Stopping
0.68,40,Person 8 Walking
0.68,40,Person 37 Walking
0.68,40,Crowded Scene (13 people)
0.69,41,Vehicle 3 Stopping
0.69,41,Vehicle 33 Stopping
0.69,41,Crowded Scene (12 people)
0.71,42,Vehicle 3 Stopping
0.71,42,Person 16 Walking
0.71,42,Vehicle 33 Stopping
0.71,42,Crowded Scene (13 people)
0.73,43,Vehicle 3 Stopping
0.73,43,Vehicle 33 Stopping
0.73,43,Person 15 Walking
0.73,43,Crowded Scene (13 people)
0.75,44,Vehicle 3 Stopping
0.75,44,Person 16 Walking
0.75,44,Vehicle 33 Stopping
0.75,44,Crowded Scene (13 people)
0.76,45,Vehicle 3 Stopping
0.76,45,Person 16 Walking
0.76,45,Vehicle 33 Stopping
0.76,45,Crowded Scene (14 people)
0.78,46,Vehicle 3 Stopping
0.78,46,Vehicle 33 Stopping
0.78,46,Crowded Scene (14 people)
0.80,47,Vehicle 3 Stopping
0.80,47,Vehicle 33 Stopping
0.80,47,Crowded Scene (13 people)
0.81,48,Vehicle 3 Stopping
0.81,48,Vehicle 33 Stopping
0.81,48,Person 15 Walking
0.81,48,Crowded Scene (12 people)
0.83,49,Vehicle 3 Stopping
0.83,49,Vehicle 33 Stopping
0.83,49,Person 15 Walking
0.83,49,Person 16 Walking
0.83,49,Crowded Scene (13 people)
0.85,50,Vehicle 3 Stopping
0.85,50,Vehicle 33 Stopping
0.85,50,Person 16 Walking
0.85,50,Crowded Scene (13 people)
0.86,51,Vehicle 3 Stopping
0.86,51,Vehicle 33 Stopping
0.86,51,Person 140 Walking
0.86,51,Crowded Scene (13 people)
0.88,52,Vehicle 3 Stopping
0.88,52,Vehicle 33 Stopping
0.88,52,Person 16 Walking
0.88,52,Crowded Scene (12 people)
0.90,53,Vehicle 3 Stopping
0.90,53,Vehicle 33 Stopping
0.90,53,Person 16 Walking
0.90,53,Person 8 Walking
0.90,53,Crowded Scene (13 people)
0.92,54,Vehicle 3 Stopping
0.92,54,Vehicle 33 Stopping
0.92,54,Person 115 Walking
0.92,54,Person 16 Walking
0.92,54,Crowded Scene (13 people)
0.93,55,Vehicle 3 Stopping
0.93,55,Vehicle 33 Stopping
0.93,55,Person 115 Walking
0.93,55,Vehicle 116 Stopping
0.93,55,Person 16 Walking
0.93,55,Crowded Scene (13 people)
0.95,56,Vehicle 3 Stopping
0.95,56,Vehicle 33 Stopping
0.95,56,Vehicle 116 Stopping
0.95,56,Person 16 Walking
0.95,56,Crowded Scene (13 people)
0.97,57,Vehicle 3 Stopping
0.97,57,Vehicle 33 Stopping
0.97,57,Vehicle 116 Stopping
0.97,57,Person 167 Walking
0.97,57,Crowded Scene (12 people)
0.98,58,Vehicle 3 Stopping
0.98,58,Vehicle 33 Stopping
0.98,58,Vehicle 116 Stopping
0.98,58,Person 16 Walking
0.98,58,Person 167 Walking
0.98,58,Crowded Scene (13 people)
1.00,59,Vehicle 3 Stopping
1.00,59,Vehicle 33 Stopping
1.00,59,Person 115 Walking
1.00,59,Vehicle 116 Stopping
1.00,59,Person 16 Walking
1.00,59,Crowded Scene (14 people)
1.02,60,Vehicle 3 Stopping
1.02,60,Vehicle 33 Stopping
1.02,60,Vehicle 116 Stopping
1.02,60,Crowded Scene (13 people)
1.03,61,Vehicle 3 Stopping
1.03,61,Vehicle 33 Stopping
1.03,61,Vehicle 116 Stopping
1.03,61,Person 179 Walking
1.03,61,Crowded Scene (13 people)
1.05,62,Vehicle 3 Stopping
1.05,62,Vehicle 33 Stopping
1.05,62,Person 115 Walking
1.05,62,Vehicle 116 Stopping
1.05,62,Crowded Scene (13 people)
1.07,63,Vehicle 3 Stopping
1.07,63,Person 13 Walking
1.07,63,Vehicle 33 Stopping
1.07,63,Vehicle 116 Stopping
1.07,63,Crowded Scene (15 people)
1.08,64,Vehicle 3 Stopping
1.08,64,Vehicle 33 Stopping
1.08,64,Vehicle 116 Stopping
1.08,64,Person 179 Walking
1.08,64,Person 196 Walking
1.08,64,Crowded Scene (15 people)
1.10,65,Vehicle 3 Stopping
1.10,65,Vehicle 33 Stopping
1.10,65,Vehicle 116 Stopping
1.10,65,Person 167 Walking
1.10,65,Person 179 Walking
1.10,65,Person 196 Walking
1.10,65,Crowded Scene (16 people)
1.12,66,Vehicle 3 Stopping
1.12,66,Vehicle 33 Stopping
1.12,66,Vehicle 116 Stopping
1.12,66,Person 167 Walking
1.12,66,Person 195 Walking
1.12,66,Person 201 Walking
1.12,66,Person 45 Walking
1.12,66,Crowded Scene (17 people)
1.14,67,Vehicle 3 Stopping
1.14,67,Vehicle 33 Stopping
1.14,67,Vehicle 116 Stopping
1.14,67,Person 167 Walking
1.14,67,Person 201 Walking
1.14,67,Person 45 Walking
1.14,67,Crowded Scene (16 people)
1.15,68,Vehicle 3 Stopping
1.15,68,Vehicle 33 Stopping
1.15,68,Vehicle 116 Stopping
1.15,68,Person 179 Walking
1.15,68,Crowded Scene (16 people)
1.17,69,Vehicle 3 Stopping
1.17,69,Vehicle 33 Stopping
1.17,69,Vehicle 116 Stopping
1.17,69,Person 195 Walking
1.17,69,Crowded Scene (15 people)
1.19,70,Vehicle 3 Stopping
1.19,70,Person 13 Walking
1.19,70,Vehicle 33 Stopping
1.19,70,Vehicle 116 Stopping
1.19,70,Crowded Scene (14 people)
1.20,71,Vehicle 3 Stopping
1.20,71,Vehicle 33 Stopping
1.20,71,Vehicle 116 Stopping
1.20,71,Person 167 Walking
1.20,71,Person 68 Walking
1.20,71,Person 169 Walking
1.20,71,Crowded Scene (16 people)
1.22,72,Vehicle 3 Stopping
1.22,72,Vehicle 33 Stopping
1.22,72,Vehicle 116 Stopping
